TIME_INTERVAL,REGION,RESOURCE_NAME,SO_MW_INSTRUCTION,CATEGORY,MO_REMARKS
05/19/2026 10:20,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:25,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:30,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:35,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:40,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:45,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:50,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 10:55,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:00,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:05,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:10,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:15,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:20,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:25,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:30,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:35,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:40,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:45,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:50,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 11:55,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:00,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:05,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:10,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:15,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:20,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:25,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:30,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:35,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:40,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:45,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:50,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 12:55,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 13:00,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
05/19/2026 13:05,CVIS,08NABASDPP_U01,3,SYSTEM VOLTAGE,SO INSTRUCTION
