Mindanao System Operations
Dispatch Instruction Report
08Jun2026-08Jun2026
UNIT,INSTRUCTION,INSTRUCTION_TIME,MW_FROM,MW_TO,CATEGORY,REMARKS
09WMPC_U01,"RAISE LOAD",06/08/2026 9:47:00 AM,0,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.69Hz from HVDC forecast variation of RTD=-270.6 vs ACTUAL=-304.5 | ON DUTY: Mapanao"
09WMPC_U01,"FOLLOW RTD",06/08/2026 10:56:00 AM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao"
09WMPC_U02,"RAISE LOAD",06/08/2026 1:12:00 PM,8.7,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from HVDC forecast variation of RTD=-185 vs ACTUAL=-243.8 | ON DUTY: Mapanao"
09WMPC_U02,"FOLLOW RTD",06/08/2026 4:20:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao"
09WMPC_U02,"RAISE LOAD",06/08/2026 4:58:00 PM,3.4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz.  | ON DUTY: Mapanao"
09WMPC_U02,"FOLLOW RTD",06/08/2026 9:55:00 PM,10,1.8,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
09WMPC_U03,"RAISE LOAD",06/08/2026 1:12:00 PM,8.7,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.77Hz from HVDC forecast variation of RTD=-185 vs ACTUAL=-243.8 | ON DUTY: Mapanao"
09WMPC_U03,"FOLLOW RTD",06/08/2026 4:20:00 PM,10,10,RTD,"From MOT Raised to Follow RTD| ON DUTY: Mapanao"
09WMPC_U03,"RAISE LOAD",06/08/2026 4:58:00 PM,3.4,10,MOT RAISE,"MOT constrained ON due to High actual system demand at frequency=59.9Hz.  | ON DUTY: Mapanao"
09WMPC_U03,"FOLLOW RTD",06/08/2026 9:55:00 PM,10,2,RTD,"From MOT Raised to Follow RTD| ON DUTY: Pedong"
