RUN_TIME,ADV_ID,ADV_SDATE,ADV_TRAN_TYPE,ADV_TEXT_MESSAGE,
6/19/2026 11:39:31 PM,V233931,6/19/2026 11:39:13 PM,0,Visayas Grid-06/19/2026 23:40: Dingle-Barotac 138 kV Line 1 de-energized at 2337H (Planned Outage)  [WEBSMS],
6/19/2026 10:37:17 PM,V223717,6/19/2026 10:37:00 PM,0,[NSO Advisory] Visayas Grid-06/19/2026 22:37: Update on System Advisory: The Visayas Grid Yellow Alert Notice issued today has been lifted effective 2235H.  [WEBSMS],
6/19/2026 8:28:01 PM,V202801,6/19/2026 8:27:44 PM,0,Visayas Grid-06/19/2026 20:28: Visayas Grid MLD restored. Last feeder In CEBECO 2 Dahaygon Fdr 1 at 2010H  [WEBSMS],
6/19/2026 8:14:31 PM,V201431,6/19/2026 8:14:13 PM,0,[NSO Advisory] Visayas Grid-06/19/2026 20:15: The SO-initiated Market Intervention issued today, 19-June-2026 for the Visayas grid has been lifted at 2010H. Market operations will resume starting interval 2020H.  [WEBSMS],
6/19/2026 7:05:32 PM,V190532,6/19/2026 7:05:15 PM,0,Visayas Grid-06/19/2026 19:06: Isabel SS 138kV Bus 2 energized at 1838H (Planned Outage)  [WEBSMS],
6/19/2026 5:48:05 PM,V174805,6/19/2026 5:47:47 PM,0,[NSO Advisory] Visayas Grid-06/19/2026 17:48: GRID UPDATE AS OF 6:00 PM System Condition: YELLOW ALERT CAP=2468MW, PK=2300MW, RR=40MW, NetOpMargin: EVE=129 Highest Unit O/L: PCPC @135MW Derated Plant: LEYTE-A @357MW, TGPP @116.7MW, BIDPP U1 @51.5MW, URC  @17.7MW, PDPP3-E @9MW, TIMBABAN HYDRO @6MW, CENPRI U5 @5.5MW, CALBAYOG DIESEL @5.4MW, TAFT HYDRO @2.5MW, UPPER TAFT @2.4MW, VILLASIGA HYDRO @2MW, SEVILLA HYDRO @2MW, LOBOC HYDRO 1 @0.9MW, LOBOC HYDRO 2 @0.4MW, AMLAN HYDRO @0.3MW [WEBSMS],
6/19/2026 5:40:51 PM,L174051,6/19/2026 5:40:33 PM,0,[NSO Advisory] Luzon Grid-06/19/2026 17:40: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=14820MW, PK=12385MW, RR=80MW, NetOpMargin: EVE=2355 Highest Unit O/L: GNPD 1&2 @668MW Derated Plant: GMEC 2 @305MW, MSLC1 @290MW, MSLC2 @300MW, MSLC3 @280MW, SCPC @120MW, SLTEC 1 @116MW, SLTEC 2 @117MW, SUAL 2 @500MW [WEBSMS],
6/19/2026 5:37:01 PM,M173701,6/19/2026 5:36:43 PM,0,[NSO Advisory] Mindanao Grid-06/19/2026 17:37: GRID UPDATE AS OF 6:00 PM System Condition: NORMAL CAP=3077MW, PK=2508MW, RR=78MW, NetOpMargin: EVE=491 Highest Unit O/L: TSI 1 @151.4MW Derated Plant: GNPK 2 @125MW, MA1 @47MW, MA2 @41MW [WEBSMS],
6/19/2026 5:09:46 PM,L170946,6/19/2026 5:09:29 PM,0,Luzon Grid-06/19/2026 17:09: Nagsaag-San Roque 230kV lines 1 and 2 were restored at 1707H and 1709H, respectively. (Planned Outage)  [WEBSMS],
6/19/2026 4:36:20 PM,V163620,6/19/2026 4:36:03 PM,0,Visayas Grid-06/19/2026 16:36: Visayas Grid implemented MLD due to generation deficiency in CNP subgrids. First feeder out VECO Camputhaw 312 at 1623H  [WEBSMS],
6/19/2026 4:33:07 PM,V163307,6/19/2026 4:32:50 PM,0,[NSO Advisory] Visayas Grid-06/19/2026 16:33: SO-initiated market intervention is issued today, 19-Jun-2026 for Visayas grid starting interval 1625H due to MLD implementation caused by limited generation at Cebu-Negros-Panay sub-grid.  [WEBSMS],
6/19/2026 3:33:07 PM,L153307,6/19/2026 3:32:50 PM,0,Luzon Grid-06/19/2026 15:33: Naga-Tiwi C 230kV line 3 was restored at 1532H. (Planned Outage)  [WEBSMS],
6/19/2026 2:55:25 PM,L145525,6/19/2026 2:55:08 PM,0,Luzon Grid-06/19/2026 14:55: Nagsaag-San Roque 230kV lines 1 and 2 were de-energized at 1453H and 1454H, respectively. (Planned Outage)  [WEBSMS],
6/19/2026 2:37:40 PM,V143740,6/19/2026 2:37:23 PM,0,Visayas Grid-06/19/2026 14:38: Sangi-Carcon 34.5kV Line 3 energized at 1425H (Planned Outage)  [WEBSMS],
6/19/2026 2:06:50 PM,V140650,6/19/2026 2:06:33 PM,0,Visayas Grid-06/19/2026 14:07: Visayas MLD restored at 1359H after augmentation of power from Mindanao.  [WEBSMS],
6/19/2026 2:03:24 PM,V140324,6/19/2026 2:03:07 PM,0,[NSO Advisory] Visayas Grid-06/19/2026 14:03: The SO-initiated Market Intervention issued today, 19-June-2026 for the Visayas grid has been lifted at 1359H. Market operations will resume starting interval 1405H.  [WEBSMS],
6/19/2026 1:51:06 PM,V135106,6/19/2026 1:50:49 PM,0,Visayas Grid-06/19/2026 13:51: Visayas implemented MLD at 1336H due to limited generation in CNP sub-grids and Mindanao export to Visayas grid. First feeder out Kabankalan - La Castella Line.  [WEBSMS],
